"NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UE","NUMERO_CANDIDATO","NUM_TURNO","ANO_ELEICAO"
"VALMIR PADILHA",11,"75094",23,1,2020
"TIAGO THE POLICE",11,"86371",28,1,2020
"MANOEL PORTELA",11,"10170",14,1,2020
"TENORINHO MALTA",11,"27650",11,1,2020
"MONHATA",11,"07170",77,1,2020
"XANDE",11,"90417",25,1,2020
"CARLINHOS GONTIJO",11,"04081",17,1,2020
"MARCUS DANTAS",11,"66192",17,1,2020
"MARCIO PATUSSI",11,"87858",12,1,2020
"TONY CARLOS",11,"54011",14,1,2020
"ULISSES MOREIRA NETO",11,"65099",27,1,2020
"MARCELO PE",11,"90174",25,1,2020
